season,date,gamenum,runs,druns,out,station
1973,19730513,1,6,0.08871010941064794,0.13152678958479588,midway
1973,19730513,2,12,7.385157866606496,0.13152678958479588,midway
1973,19730515,0,7,-1.6863113331439668,4.305743907558445,midway
1973,19730516,0,4,-4.962941794696502,-2.3113163805243806,midway
1973,19730517,0,10,7.196099931475264,-2.1661436080396212,midway
1973,19730529,0,8,-0.12273885456608036,-4.468265466842759,midway
1973,19730530,0,5,-2.77385648449134,-1.8118314442314982,midway
1973,19730531,0,24,8.229060007140804,6.250938315960141,midway
1973,19730601,0,15,6.1208566101520265,4.014022280988877,midway
1973,19730602,0,7,-2.5554118047806895,0.7714855558957632,midway
1973,19730603,0,3,-3.783155843351276,6.1463868935153725,midway
1973,19730605,0,11,4.653531315365217,3.8756219020707547,midway
1973,19730606,0,10,-0.14060749150578045,4.688322920489761,midway
1973,19730607,0,4,-0.6464721715678161,5.956186886455147,midway
1973,19730608,0,11,2.881261190900588,7.752557625684484,midway
1973,19730609,0,12,-1.9262315084119692,-3.5009287910631572,midway
1973,19730610,0,16,7.836955257750069,5.841617204302411,midway
1973,19730627,1,7,-2.5458363429470374,3.1839423288439854,midway
1973,19730627,2,9,-0.5824295486876521,3.1839423288439854,midway
1973,19730628,0,6,0.7481684185004518,1.6995060796543762,midway
1973,19730629,0,7,4.9750008199742854,1.8473672745657033,midway
1973,19730630,0,3,-5.994096502675716,2.29639598164828,midway
1973,19730701,1,11,0.19117348834737236,0.2363414666404129,midway
1973,19730701,2,11,1.5102561133104007,0.2363414666404129,midway
1973,19730703,0,10,2.553319485552678,-2.052423528068811,midway
1973,19730704,0,5,-3.661811801992195,-0.41589353188373523,midway
1973,19730705,0,11,1.101980481081386,-0.9195316247649081,midway
1973,19730717,0,1,-8.409457056218981,-0.4607629245207866,midway
1973,19730718,0,13,-0.6696879802335951,3.69123722497266,midway
1973,19730719,0,17,4.258806817281721,3.057815665275428,midway
1973,19730720,0,9,-0.03212174311678878,-2.256821828931254,midway
1973,19730721,0,4,-2.674316088992688,-5.404354594207228,midway
1973,19730722,0,5,-12.333552315475137,-4.307473490370778,midway
1973,19730726,0,5,-6.178150459298745,5.606204398654204,midway
1973,19730727,0,16,9.79966301866221,6.547037795934384,midway
1973,19730728,0,9,0.9536494290463234,1.1957351358653054,midway
1973,19730729,1,8,-3.8087446865918753,3.409157970769022,midway
1973,19730729,2,9,-0.18342400655813107,3.409157970769022,midway
1973,19730730,0,4,-4.5338202737756355,2.9444082874290305,midway
1973,19730810,0,10,0.6995230797625327,2.1069203435345463,midway
1973,19730811,0,10,-2.6257854277075934,0.563398126228424,midway
1973,19730812,0,5,-2.663283653225928,-3.9327177171612275,midway
1973,19730814,0,8,-5.782595656586234,-5.943689131023321,midway
1973,19730815,0,16,4.730727564868043,-1.369947595826846,midway
1973,19730816,0,12,0.8232597878487701,3.277574796021276,midway
1973,19730817,0,6,-5.636167321944645,-1.164764380324842,midway
1973,19730818,0,3,-5.394887792872094,2.6918455590393764,midway
1973,19730819,0,3,-8.3011277295135,1.3194606391300077,midway
1973,19730821,0,10,1.2093882444016324,-5.515956412793398,midway
1973,19730822,0,11,1.0940862448083428,-0.40093939200649575,midway
1973,19730823,0,7,-3.417231100316119,-2.2497948172656748,midway
1973,19730907,0,10,-1.0950583094491344,-0.2714103083469049,midway
1973,19730908,0,4,-2.7132744857742255,-2.6958344726753403,midway
1973,19730909,0,9,4.174976338898801,-4.185174925429505,midway
1973,19730910,0,14,4.1133592347633305,3.2138338255759917,midway
1973,19730911,0,2,-8.310004562978726,-1.6736870297918347,midway
1973,19730912,0,6,0.05241039414302679,-2.066833560616067,midway
1973,19730913,0,7,-1.6700349892803656,-4.495229754039954,midway
1973,19730918,1,7,-3.7511572758785956,2.4321138683139085,midway
1973,19730918,2,5,-5.487073305568393,2.4321138683139085,midway
1973,19730919,0,14,7.59197217114892,5.854330130459536,midway
1973,19730920,0,9,4.454021271117732,-5.399819956809518,midway
1973,19730921,0,4,1.4009792551073792,-0.5514172525912835,midway
1973,19730930,1,1,-4.168304903973103,-3.4683746625925336,midway
1973,19730930,2,11,-2.8541303138543155,-3.4683746625925336,midway
1973,19731001,0,10,5.753878560932799,-2.381460927676886,midway
